Configuration,CreationTime,OptimizationTime,InteriorNodes,LeafNodes,EmptyNodes,PrimCount,RayCount,NodeIntersections,PrimIntersections,Metric,SISDNodeIntersections,SISDPrimIntersections,TreeWidth,SimdWidth,Optimizations,CreationMethod,SplitMethod,Variant,EpoRatio,OptiMergedInner,OptiMergedLeaf,OptiMergedParent,LeafDepthAvg,LeafDepthMin,LeafDepthMax,InteriorDepthAvg,TotalNodes
4wide-4simd-none-epo-0.1epoRat-direct-0,701.0,,277752,817481,16212,2662968,6231520,1478067760,295231619,11.68,5353391937,844893548,4,4,none,direct,epo,0,0.1,,,,9.558,0.0,18.0,8.245,1111008
4wide-4simd-none-epo-0.1epoRat-direct-1,1168.0,,291114,691035,182744,2662968,6231520,1670875438,302135759,12.723,5751572056,961691988,4,4,none,direct,epo,1,0.1,,,,10.214,0.0,20.0,8.91,1164456
4wide-4simd-none-epo-0.1epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.1,,,,,,,,
4wide-4simd-none-epo-0.1epoRat-direct-3,15736.0,,276781,811149,19631,2662968,6231520,1532763469,298893657,11.626,5506509813,866740269,4,4,none,direct,epo,3,0.1,,,,10.607,0.0,21.0,9.296,1107124
4wide-4simd-none-epo-0.1epoRat-frombvh-0,464.0,,255742,511966,255697,2662968,6231520,1575170816,375189733,11.64,5251753527,1291801653,4,4,none,frombvh,epo,0,0.1,,,,9.935,0.0,20.0,8.691,1022968
4wide-4simd-none-epo-0.2epoRat-direct-0,708.0,,288320,848348,17049,2662968,6231520,1452709248,292857475,9.218,5259832617,826118507,4,4,none,direct,epo,0,0.2,,,,9.768,0.0,18.0,8.457,1153280
4wide-4simd-none-epo-0.2epoRat-direct-1,1331.0,,313834,705199,236740,2662968,6231520,1705922129,293239592,9.241,5819670001,917942252,4,4,none,direct,epo,1,0.2,,,,10.624,0.0,21.0,9.33,1255336
4wide-4simd-none-epo-0.2epoRat-direct-2,7557.0,,552762,555932,1102791,2662968,6231520,2773719335,315379710,8.622,5621566201,1052491798,4,4,none,direct,epo,2,0.2,,,,20.169,0.0,49.0,18.238,2211048
4wide-4simd-none-epo-0.2epoRat-direct-3,16453.0,,296582,866450,23733,2662968,6231520,1515743892,292766282,8.754,5459530548,826288023,4,4,none,direct,epo,3,0.2,,,,10.716,0.0,21.0,9.409,1186328
4wide-4simd-none-epo-0.2epoRat-frombvh-0,451.0,,285940,571993,286264,2662968,6231520,1547666936,347249592,9.125,5175525686,1169361284,4,4,none,frombvh,epo,0,0.2,,,,10.111,0.0,20.0,8.87,1143760
4wide-4simd-none-epo-0.3epoRat-direct-0,687.0,,298617,878052,18236,2662968,6231520,1393253609,281558310,7.37,5066210799,782202010,4,4,none,direct,epo,0,0.3,,,,9.825,0.0,18.0,8.513,1194468
4wide-4simd-none-epo-0.3epoRat-direct-1,1339.0,,338373,720855,294701,2662968,6231520,1732236961,288470278,6.901,5867027683,912933583,4,4,none,direct,epo,1,0.3,,,,10.908,0.0,24.0,9.637,1353492
4wide-4simd-none-epo-0.3epoRat-direct-2,8056.0,,599348,602463,1196018,2662968,6231520,2684734903,292367384,5.586,5427790498,967151210,4,4,none,direct,epo,2,0.3,,,,19.866,0.0,49.0,17.929,2397392
4wide-4simd-none-epo-0.3epoRat-direct-3,16875.0,,315660,919009,28408,2662968,6231520,1498677480,291048906,6.914,5441973797,804078849,4,4,none,direct,epo,3,0.3,,,,10.88,0.0,21.0,9.579,1262640
4wide-4simd-none-epo-0.3epoRat-frombvh-0,509.0,,315942,632806,315457,2662968,6231520,1567514829,336899518,6.834,5325532641,1119133254,4,4,none,frombvh,epo,0,0.3,,,,10.586,0.0,24.0,9.34,1263768
4wide-4simd-none-epo-0.4epoRat-direct-0,817.0,,309325,909351,19061,2662968,6231520,1416978304,284845870,5.262,5159391364,774890007,4,4,none,direct,epo,0,0.4,,,,10.312,0.0,20.0,9.0,1237300
4wide-4simd-none-epo-0.4epoRat-direct-1,1704.0,,369781,741035,368745,2662968,6231520,1790818602,280081748,4.425,5733527650,874283003,4,4,none,direct,epo,1,0.4,,,,13.207,0.0,35.0,11.989,1479124
4wide-4simd-none-epo-0.4epoRat-direct-2,8699.0,,643940,647132,1285125,2662968,6231520,2748426671,286539658,4.591,5576162274,931521902,4,4,none,direct,epo,2,0.4,,,,19.964,0.0,48.0,18.023,2575760
4wide-4simd-none-epo-0.4epoRat-direct-3,17301.0,,334366,970273,33262,2662968,6231520,1481506041,281330703,5.626,5403852823,753256932,4,4,none,direct,epo,3,0.4,,,,11.115,0.0,23.0,9.821,1337464
4wide-4simd-none-epo-0.4epoRat-frombvh-0,600.0,,348058,696726,347885,2662968,6231520,1570999894,315267172,4.922,5344952101,1034487504,4,4,none,frombvh,epo,0,0.4,,,,11.388,0.0,26.0,10.144,1392232
4wide-4simd-none-epo-0.5epoRat-direct-0,826.0,,318919,937130,20064,2662968,6231520,1419343294,286483967,4.226,5171740982,765111168,4,4,none,direct,epo,0,0.5,,,,10.456,0.0,21.0,9.145,1275676
4wide-4simd-none-epo-0.5epoRat-direct-1,1926.0,,413703,768812,472734,2662968,6231520,1918166046,278904331,3.305,5878178852,864215213,4,4,none,direct,epo,1,0.5,,,,16.018,0.0,50.0,14.888,1654812
4wide-4simd-none-epo-0.5epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.5,,,,,,,,
4wide-4simd-none-epo-0.5epoRat-direct-3,17994.0,,352406,1019015,38640,2662968,6231520,1564237733,295216101,4.568,5692835637,786356672,4,4,none,direct,epo,3,0.5,,,,11.433,0.0,24.0,10.147,1409624
4wide-4simd-none-epo-0.5epoRat-frombvh-0,698.0,,384780,769671,385106,2662968,6231520,1606303400,308253232,3.78,5537579901,972843896,4,4,none,frombvh,epo,0,0.5,,,,12.491,0.0,30.0,11.246,1539120
4wide-4simd-none-epo-0.6epoRat-direct-0,826.0,,328394,964745,20874,2662968,6231520,1457352900,291306877,3.486,5332055827,764875533,4,4,none,direct,epo,0,0.6,,,,10.651,0.0,23.0,9.338,1313576
4wide-4simd-none-epo-0.6epoRat-direct-1,,,,,,,,,,,,,4,4,none,direct,epo,1,0.6,,,,,,,,
4wide-4simd-none-epo-0.6epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.6,,,,,,,,
4wide-4simd-none-epo-0.6epoRat-direct-3,18276.0,,370465,1067419,44413,2662968,6231520,1558174351,276278145,3.82,5745023873,691222994,4,4,none,direct,epo,3,0.6,,,,11.791,0.0,27.0,10.514,1481860
4wide-4simd-none-epo-0.6epoRat-frombvh-0,758.0,,425815,852298,425584,2662968,6231520,1680619496,301799838,3.145,5818946029,919366228,4,4,none,frombvh,epo,0,0.6,,,,13.427,0.0,33.0,12.182,1703260
4wide-4simd-none-epo-0.7epoRat-direct-0,851.0,,338198,992722,22309,2662968,6231520,1479430912,286137572,2.977,5427014279,737547750,4,4,none,direct,epo,0,0.7,,,,10.915,0.0,25.0,9.604,1352792
4wide-4simd-none-epo-0.7epoRat-direct-1,,,,,,,,,,,,,4,4,none,direct,epo,1,0.7,,,,,,,,
4wide-4simd-none-epo-0.7epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.7,,,,,,,,
4wide-4simd-none-epo-0.7epoRat-direct-3,18362.0,,388537,1115176,50872,2662968,6231520,1563601540,283113353,3.285,5763738302,698249490,4,4,none,direct,epo,3,0.7,,,,12.29,0.0,28.0,11.02,1554148
4wide-4simd-none-epo-0.7epoRat-frombvh-0,723.0,,465451,931431,465359,2662968,6231520,1712689830,295199611,2.638,5979930176,868741840,4,4,none,frombvh,epo,0,0.7,,,,14.149,0.0,41.0,12.902,1861804
4wide-4simd-none-epo-0.8epoRat-direct-0,956.0,,347193,1018555,23461,2662968,6231520,1462388136,278350696,2.097,5353242978,718470842,4,4,none,direct,epo,0,0.8,,,,11.57,0.0,26.0,10.259,1388772
4wide-4simd-none-epo-0.8epoRat-direct-1,,,,,,,,,,,,,4,4,none,direct,epo,1,0.8,,,,,,,,
4wide-4simd-none-epo-0.8epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.8,,,,,,,,
4wide-4simd-none-epo-0.8epoRat-direct-3,19124.0,,407774,1165877,57882,2662968,6231520,1561125292,284194280,2.23,5749434632,695874095,4,4,none,direct,epo,3,0.8,,,,12.954,0.0,29.0,11.689,1631096
4wide-4simd-none-epo-0.8epoRat-frombvh-0,962.0,,502881,1006747,502333,2662968,6231520,1867573466,282318247,1.547,6624818825,779992004,4,4,none,frombvh,epo,0,0.8,,,,16.863,0.0,48.0,15.617,2011524
4wide-4simd-none-epo-0.9epoRat-direct-0,954.0,,355922,1043418,24785,2662968,6231520,1500272995,277325231,1.81,5517843861,702126947,4,4,none,direct,epo,0,0.9,,,,12.084,0.0,28.0,10.772,1423688
4wide-4simd-none-epo-0.9epoRat-direct-1,,,,,,,,,,,,,4,4,none,direct,epo,1,0.9,,,,,,,,
4wide-4simd-none-epo-0.9epoRat-direct-2,,,,,,,,,,,,,4,4,none,direct,epo,2,0.9,,,,,,,,
4wide-4simd-none-epo-0.9epoRat-direct-3,19317.0,,428249,1219617,65567,2662968,6231520,1645884353,289242555,1.853,6091199302,678090852,4,4,none,direct,epo,3,0.9,,,,14.115,0.0,32.0,12.86,1712996
4wide-4simd-none-epo-0.9epoRat-frombvh-0,1126.0,,538260,1077544,537673,2662968,6231520,2020303834,283366211,1.213,7252658831,751579698,4,4,none,frombvh,epo,0,0.9,,,,19.861,0.0,59.0,18.614,2153040
